CWE_RULE,Parentof,Childof,Enforced By,QAC MESSAGE,MISRA C:2012 / Coding Standard v6 Rules,CERT C,Comments
,,,QAC,2983,Rule-2.2,,
,,,QAC,2984,,,
,,,QAC,2985,Rule-2.2,,
,,,QAC,2986,Rule-2.2,,
,,,QAC,3001,Rule-8.2,,
,,,QAC,3004,Rule-11.9,,
,,,QAC,3006,Dir-4.3,,
,,,QAC,3007,Rule-8.2,,
,,,QAC,3008,Dir-4.3,,
,,,QAC,3106,,,
,,,QAC,3108,Rule-3.1,,
,,,QAC,3109,,,
,,,QAC,3115,Rule-20.13,,
,,,QAC,3116,Dir-1.1,,
,,,QAC,3117,,,
,,,QAC,3118,,,
,,,QAC,3120,,,
,,,QAC,3121,,,
,,,QAC,3122,,,
,,,QAC,3123,,,
,,,QAC,3131,,,
,,,QAC,3132,,,
,,,QAC,3138,,,
,,,QAC,3139,,,
,,,QAC,3140,,,
,,,QAC,3141,,,
,,,QAC,3200,Dir-4.7|Rule-17.7,,
,,,QAC,3202,Rule-2.6,,
,,,QAC,3204,,,
,,,QAC,3205,Rule-2.3,,
,,,QAC,3206,Rule-2.7,,
,,,QAC,3207,,,
,,,QAC,3208,,,
,,,QAC,3209,,,
,,,QAC,3210,,,
,,,QAC,3211,,,
,,,QAC,3216,,,
,,,QAC,3218,Rule-8.9,,
,,,QAC,3219,Rule-2.1,,
,,,QAC,3220,,,
,,,QAC,3221,,,
,,,QAC,3222,,,
,,,QAC,3223,,,
,,,QAC,3224,Rule-8.8,,
,,,QAC,3227,,,
,,,QAC,3228,,,
,,,QAC,3231,,,
,,,QAC,3232,,,
,,,QAC,3233,,,
,,,QAC,3240,Rule-8.10,,
,,,QAC,3243,Rule-8.10,,
,,,QAC,3260,Rule-18.5,,
,,,QAC,3261,Rule-18.5,,
,,,QAC,3262,Rule-18.5,,
,,,QAC,3263,Rule-18.5,,
,,,QAC,3307,Rule-13.6,,
,,,QAC,3308,,,
,,,QAC,3311,Rule-1.3,,
,,,QAC,3312,Rule-1.3,,
,,,QAC,3313,,,
,,,QAC,3314,,,
,,,QAC,3330,,,
,,,QAC,3331,Rule-8.4,,
,,,QAC,3333,,,
,,,QAC,3339,Rule-14.1,,
,,,QAC,3340,Rule-14.1,,
,,,QAC,3342,Rule-14.1,,
,,,QAC,3344,Rule-14.4,,
,,,QAC,3345,,,
,,,QAC,3389,Rule-12.1,,
,,,QAC,3391,Rule-12.1,,
,,,QAC,3392,Rule-12.1,,
,,,QAC,3393,,,
,,,QAC,3394,Rule-12.1,,
,,,QAC,3395,Rule-12.1,,
,,,QAC,3396,Rule-12.1,,
,,,QAC,3397,Rule-12.1,,
,,,QAC,3398,,,
,,,QAC,3399,,,
,,,QAC,3400,,,
,,,QAC,3402,Rule-15.6,,
,,,QAC,3403,,,
,,,QAC,3408,Rule-8.4,,
,,,QAC,3409,,,
,,,QAC,3410,,,
,,,QAC,3411,,,
,,,QAC,3412,,,
,,,QAC,3413,,,
,,,QAC,3414,,,
,,,QAC,3415,Rule-13.5,,
